Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-07-11,Êles,2019,https://boxd.it/1f7DvJ,3,,,2020-07-10
2020-07-11,Purple Dictatorship,2020,https://boxd.it/1f7F33,2,,,2020-07-10
2020-07-11,Em Reforma,2019,https://boxd.it/1f7Fol,3,,,2020-07-10
2020-07-13,Depois da Meia Noite,2020,https://boxd.it/1fnX7T,1.5,,,2020-07-12
2020-07-14,A Hora Morta,2020,https://boxd.it/1fuSW7,1,,,2020-07-12
2020-07-17,They Will Have to Kill Us First,2015,https://boxd.it/1fKfCp,3,,,2020-07-16
2020-07-18,Saindo de Casa,2017,https://boxd.it/1fPULH,1,,,2020-07-17
2020-07-18,Ícaro,2017,https://boxd.it/1fQ3VB,0.5,,,2020-07-17
2020-07-18,New York New York,2020,https://boxd.it/1fRMS5,2,,,2020-07-17
2020-07-18,Nefta Football Club,2018,https://boxd.it/1fRV3b,4.5,,,2020-07-17
2020-07-19,Em Nome de Deus,2020,https://boxd.it/1fWs11,3,,tv,2020-07-18
2020-07-19,Campo dos Afonsos,2020,https://boxd.it/1fZovH,0.5,,,2020-07-18
2020-07-19,WHAT DID JACK DO?,2017,https://boxd.it/1fZtw1,1,,,2020-07-18
2020-07-19,Mercy,2019,https://boxd.it/1g09zL,2.5,,,2020-07-18
2020-07-29,Sobrevida,2020,https://boxd.it/1h26hR,0.5,,,2020-07-28
2020-07-29,Elementos Naturais,2020,https://boxd.it/1h2c79,1,,,2020-07-28
2020-07-29,Só Jesus salva,2019,https://boxd.it/1h2dQf,1,,,2020-07-28
2020-07-29,Paciente,2020,https://boxd.it/1h2nxH,1,,,2020-07-28
2020-07-29,Comentários a respeito de Belchior,2020,https://boxd.it/1h2sSP,1.5,,,2020-07-28
2020-07-29,eu acho que o cinema devia ser de graça para o povo,2019,https://boxd.it/1h2zen,1.5,,,2020-07-28
2020-07-29,White Hole,1979,https://boxd.it/1h3oXD,,,,2020-07-28
2020-07-29,Everything Visible Is Empty,1975,https://boxd.it/1h3p7t,,,,2020-07-28
2020-07-29,Phantom,1975,https://boxd.it/1h3pJd,,,,2020-07-28
2020-07-29,Shift,1982,https://boxd.it/1h3pQD,,,,2020-07-28
2020-07-31,Metastasis,1971,https://boxd.it/1hcsvr,,,,2020-07-29
2020-07-31,Engram,1987,https://boxd.it/1hcujH,,,,2020-07-29
