,Timestamp,Qual é o nome do seu cargo? ,Quanto é seu salário mensal? ,Quantos anos você tem experiência na área?,Qual o regime de trabalho? ,"Como PJ, a empresa te obriga a cumprir um horário especificado por ela? ","Como CLT, você é obrigado a fazer horas além do seu horário? ",O que você faz no seu trabalho,Você é responsável por coordenar pessoas? ,Qual é o tamanho da sua empresa? ,Sua empresa é uma consultoria? ,empresa_codigo,localidade
103,29/05/2023 23:03:36,Engenharia de dados,4589.0,4.0,CLT,,Não,Gestão de Produtos,Não,Até 500 funcionários,Não,105,RO
104,29/05/2023 23:29:47,Pleno,5300.0,6.0,CLT,,Sim,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,96,MG
105,29/05/2023 23:41:16,Engenheiro de software mobile,48500.0,10.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,10,PE
106,30/05/2023 00:16:12,Desenvolvedor II,2500.0,2.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 100 funcionár,Não,-1,MT
107,30/05/2023 00:17:55,Full stack developer,60000.0,13.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Sim,-1,SC
108,30/05/2023 00:26:19,Desenvolver Senior,13500.0,10.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Sim,33,PR
109,30/05/2023 00:29:54,Desenvolvedor Front End Pleno,13000.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Sim,-1,SC
110,30/05/2023 02:25:42,Especialista DevOps,12000.0,3.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,95,GO
111,30/05/2023 05:49:40,Senior software engineer,75000.0,15.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,44,SP
112,30/05/2023 06:46:24,Frontend ,9000.0,5.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,MG
113,30/05/2023 07:05:31,Senior software developer,16777.0,9.0,PJ,Não,,Suporte em sistemas legados,Não,Até 500 funcionários,Não,-1,MG
114,30/05/2023 07:20:41,Engenheiro cloud,16000.0,5.0,PJ,Não,,DevOps,Não,Até 100 funcionár,Não,-1,PA
115,30/05/2023 08:10:07,software engineer,12777.0,12.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,69,SP
116,30/05/2023 08:10:10,Dev senior,11000.0,9.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,CE
117,30/05/2023 08:11:35,Software Engineerint Analyst Senior,8042.0,7.0,CLT,,Não,Suporte de sistemas em produção,Sim,Mais de 1000 funcionários,Sim,1,SP
118,30/05/2023 08:15:48,Application Developer Junior,3650.0,1.0,CLT,,Não,Suporte em sistemas legados,Não,Mais de 1000 funcionários,Sim,47,RJ
119,30/05/2023 08:17:08,Assistente de soluções,5300.0,2.0,CLT,,Sim,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,49,SP
120,30/05/2023 08:17:51,Front-end junior,8500.0,1.0,PJ,Sim,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,RJ
121,30/05/2023 08:22:13,Desenvolvedor .NET,9500.0,5.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Sim,83,MG
122,30/05/2023 08:36:06,Cientista de dados,14000.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,SP
123,30/05/2023 08:43:46,Principal Software Engineer,25000.0,12.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Não,24,SP
124,30/05/2023 08:54:53,Desenvolvedor de Software Pleno,8000.0,8.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Não,77,SP
125,30/05/2023 08:58:53,Associate Software Engineer,15000.0,2.0,CLT,,Sim,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,-1,França
126,30/05/2023 09:01:36,Engenheiro de software ,10000.0,4.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 500 funcionários,Não,-1,PE
127,30/05/2023 09:12:48,Experienced software developer,4600.0,2.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,78,SC
128,30/05/2023 09:13:49,full stack,8000.0,6.0,PJ,Sim,,Desenvolvimento de novos produtos,Sim,Até 100 funcionár,Não,-1,MG
129,30/05/2023 09:15:36,Dev Senior backend,13400.0,8.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Não,-1,PE
130,30/05/2023 09:19:57,Senior Engineer,33000.0,8.0,PJ,Sim,,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Sim,30,MG
131,30/05/2023 09:21:52,Desenvolvedor Sênior,15666.0,15.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,SC
132,30/05/2023 09:24:45,Desenvolvedor Java júnior ,5500.0,1.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 500 funcionários,Não,88,PB
133,30/05/2023 09:25:12,Desenvolvedor de Software,8185.0,12.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,PR
